                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0153,                 1.3458,                 1.1701,                0.81827,                0.88882,                0.90735,                0.71128,                0.84357,                0.62659,                 1.0607,              0.0033261,              0.0033261,              0.0033261
                      2,                0.90114,                0.74268,                 1.0608,                0.82874,                0.88844,                0.89403,                0.70326,                0.82077,                0.65912,                 1.0157,              0.0066374,              0.0066374,              0.0066374
                      3,                0.96646,                0.84417,                 1.0962,                 0.8026,                0.85513,                0.86269,                 0.6363,                0.92941,                0.78196,                 1.0943,              0.0099268,              0.0099268,              0.0099268
                      4,                 1.0322,                0.90693,                 1.1499,                0.80556,                0.85628,                0.87986,                0.66592,                0.92258,                0.80076,                 1.1258,               0.009901,               0.009901,               0.009901
                      5,                 0.9984,                0.84846,                 1.1381,                0.82969,                0.82514,                0.86978,                0.66592,                0.89358,                0.74467,                 1.1202,               0.009901,               0.009901,               0.009901
                      6,                0.95773,                0.79165,                 1.1153,                0.82152,                 0.8695,                 0.9054,                0.69863,                0.84993,                0.67203,                 1.0882,               0.009868,               0.009868,               0.009868
                      7,                0.92432,                0.74527,                 1.1027,                0.83573,                 0.8839,                0.90345,                 0.7029,                   0.84,                 0.6263,                 1.0831,               0.009835,               0.009835,               0.009835
                      8,                0.89922,                0.72564,                 1.0852,                0.85345,                0.87755,                0.91911,                0.73033,                0.79907,                0.60829,                 1.0605,               0.009802,               0.009802,               0.009802
                      9,                0.88692,                0.69887,                 1.0794,                 0.8635,                0.89873,                0.93289,                0.75063,                 0.7681,                0.58193,                 1.0422,               0.009769,               0.009769,               0.009769
                     10,                 0.8622,                0.66957,                 1.0709,                0.85345,                0.88705,                 0.9286,                0.75787,                0.74389,                0.56922,                  1.036,               0.009736,               0.009736,               0.009736
                     11,                0.84936,                0.66318,                 1.0666,                  0.844,                0.91431,                 0.9268,                0.74901,                0.75635,                0.58556,                 1.0386,               0.009703,               0.009703,               0.009703
                     12,                 0.8284,                0.64678,                 1.0493,                0.88336,                0.86521,                0.93672,                0.77253,                0.72425,                0.53273,                 1.0192,                0.00967,                0.00967,                0.00967
                     13,                0.81177,                0.61468,                 1.0434,                0.85115,                 0.9153,                 0.9379,                0.78293,                0.70237,                0.51795,                 1.0104,               0.009637,               0.009637,               0.009637
                     14,                 0.8017,                0.60665,                 1.0366,                0.88016,                0.89253,                0.94498,                0.78572,                0.69973,                0.50433,                 1.0097,               0.009604,               0.009604,               0.009604
                     15,                0.78633,                0.59984,                 1.0316,                 0.8621,                0.91353,                0.94405,                0.78894,                0.67917,                0.49067,                0.99207,               0.009571,               0.009571,               0.009571
                     16,                0.77213,                0.58185,                  1.018,                0.88219,                0.90677,                0.93681,                0.78451,                 0.6765,                0.50114,                0.98931,               0.009538,               0.009538,               0.009538
                     17,                  0.769,                0.57651,                 1.0164,                0.86614,                0.91326,                0.93848,                0.77582,                0.69106,                0.50055,                 1.0012,               0.009505,               0.009505,               0.009505
